recipe name,preparation time,min_portion,max_portion,ingredients,steps
Ajiaco chileno,40.0,3,4,"['300 grs de carne asada, puede ser más', '2 cucharadas de aceite', '1 cebolla grande o 2 cebollas medianas', '4 papas medianas', '2 ajos', '1 trozo pequeño de pimentón rojo', '1/2 cucharadita de orégano', 'Sal, pimienta a gusto', 'Merkén', 'Ají color', '1 huevo por persona', '2 cucharadas de perejil picado', '1 litro de caldo de carne']","['1-Cortamos la carne en tiras y las papas a lo largo (en juliana). Reservar.', '2-Se corta la cebolla en pluma y se coloca en una olla con el aceite, se fríe por unos minutos, luego agregamos el ajo y el pimentón. Enseguida añadir la carne y los aliños (sal, pimienta, ají color, orégano, merkén). Luego se echan las papas y finalmente agrega el caldo de carne o agua.', '3-Se cocina por unos 20 minutos.', '4-Mientras tanto podemos pochar el huevo o simplemente cocinarlo por 10 minutos en agua hervida.', '5-Se sirve en un plato hondo y se puede optar por colocar el huevo al principio o al final. Luego el caldo y resto de ingredientes. Se coloca encima perejil picado y merkén (optativo).']"
Alfajores chilenos,40.0,20,,"['1 1/2 taza de harina cernida', '5 yemas', '1 cucharada de coñac o pisco', 'Manjar']","['1-Colocar la harina en un bol y añadir las yemas una a una, y luego lentamente el licor. Mezclar bien y formar una masa lisa, firme y seca (en el caso de quedar extremadamente seca, añada pequeñas cantidades de agua).', '2-Uslerear la masa dejándola muy delgada; corte círculos de 4 a 5 cms.', '3-Colocar los alfajores en una lata limpia enmantequillada.', '4-Llevar a horno precalentado a 400°F (200°C) por 8 a 10 min.', '5-Unir de a dos con el manjar.']"
Alfajores de Maicena,30.0,20,,"['125 grs. margarina', '150 grs. azúcar flor (1 taza 1/4 taza) (glas, en polvo, impalpable)', '3 yemas', '1 cucharadita de coñac', '280 grs (2 tazas harina) para todo uso sin polvos de hornear', '100 grs (1 taza) maicena', '1/2 cucharadita de bicarbonato', '2 cucharaditas polvos de hornear', '1 cucharadita de vainilla', 'ralladura de un limón', '1/2 taza de leche si es necesario', 'manjar', 'coco rallado']","['1-Precalentar el horno a 350°F (180°C)', '2-Unir la margarina, azúcar, yemas. Luego agregar los ingredientes secos (harina, polvos de hornear, bicarbonato, maicena) e incorporar el coñac, la vainilla y si es necesario leche.', '3-Cuando se obtiene una masa homogénea se trabaja con el uslero, para luego ir cortando círculos del tamaño deseado.', '4-Se van colocando en una lata de horno enmantequillada.', '5-Hornear de 8 a 10 minutos.', '6-Luego cuando estén frías se van uniendo con manjar y por los costados con coco rallado.']"
Aliño completo,5.0,,,"['1 cucharada de ajo en polvo', '1 cucharada de cilantro seco', '1 cucharada de orégano', '1 cucharada de pimienta', '1 cucharada de comino']","['1-Idealmente usar un mortero y moler todos los ingredientes juntos.', '2-Sino no tiene un mortero pueden usar un procesador o licuadora para moler.', '3-Luego poner la mezcla en un frasco de vidrio bien cerrado.', '4-Ahora podrá sazonar muchos platos a su gusto.']"
Anticuchos de carne y vegetarianos,30.0,4,6,"['1/2 kilo de carne para la parrilla (lomo vetado, picahna, sobrecostilla, lomo, abastaro, etc)', '1/4 kilo de longaniza', '4 vienesas', '2 morrones rojo o amarillo', '1 cebolla grande', 'Champiñones,', 'Zapallito italiano', 'Trozos de choclos (maíz)', 'Sal y pimienta a gusto', 'Palos de brocheta']","['1-Existe la opción de adobar la carne por una media hora con sal, pimienta, algún tipo de concentrado de carnes, o con un poco de vino tinto. Esto es opcional.', '2-Sino simplemente corta trozos de carne, longaniza, vienesas y el resto de vegetales.', '3-Luego en un palo de brocheta van colando trozos de cada uno de los ingredientes, excepto el choclo (maíz) que es para los anticuchos vegetarianos. Espolvorear con un poco de sal y pimienta.', '4-Y es el mismo proceso para los anticuchos vegetarianos.En la foto se puede apreciar el orden que le dí.', '5-Colocar a la parrilla e ir girando hasta que estén asados. Hay que tener ojo, porque si el fuego está muy fuerte se pueden quemar con facilidad.']"
Arroz con leche,0.0,3,,"['1/2 taza de arroz', '2 1/2 tazas de leche líquida', '1 palito de canela', '1/2 taza de azúcar (puede ser menos o más dependiendo del dulzor que desee)', 'Canela en polvo para decorar']","['1-Algunas personas lavan el arroz antes de usarlo, en esta receta no lo hago.', '2-Colocar el arroz crudo en un olla con 2 tazas de leche y palo de canela. Cocinar por unos 25 a 30 minutos, luego agregar el azúcar y cocinar por unos 3 a 5 minutos más. Finalmente agregar la media taza de leche fría, revolver bien y apagar. Dejar reposar. Se puede servir tibio o totalmente frío. Decorar con canela en polvo si desea.']"
Barros luco,19.0,4,,"['1 pan para sandwich, o marraqueta por persona', '1 bistec, tipo milanesa puede ser asiento, posta o lomo', 'sal a gusto', '2 láminas de queso mantecoso, aquí usé uno llamado Havarti', 'Mantequilla']","['1-En una plancha o sartén colocar un poco de mantequilla.', '2-Saltear la carne por unos 2 minutos por lado. Agregar sal a gusto.', '3-Colocar el queso encima de la carne y dejar que se derrita, o colocar el queso en la misma plancha y esperar que se derrita y colocar inmediatamente sobre la carne.', '4-Abrir el pan por la mitad y colocarlo en la misma plancha para calentarlo por ambos lados.', '5-Luego rellenar el pan con la carne y queso.', '6-Todo esto debe hacerse rápido.', '7-Tapar con la otra mitad el pan y disfrutar.']"
Berlines chilenos,45.0,15,,"['1 sobre de levadura en polvo (7grs/ 2 cucharaditas)', '1/4 taza de agua tibia (105°-115°F) (40°-46°C)', '60 grs de mantequilla sin sal', '1/2 taza de azúcar granulada', '3 yemas', '3 tazas de harina sin polvos de hornear', '1 taza de leche', '1/2 litro de aceite vegetal', 'Azúcar flor (glas) para espolvorear', '1 litro de leche', '1/2 taza de maicena', '1/2 taza de azúcar granulada', '1/2 cucharadita de esencia de vainilla', '5 yemas']","['1-En un pequeño bol colocar un poquito de agua, 1/4 de taza está bien con una pizca de azúcar y mezclar con la levadura. Dejar reposar por unos 10 minutos.', '2-Mientras tanto en otro bol o mezcladora, batir la mantequilla con la media taza de azúcar, luego añadir las 3 yemas de huevo.', '3-Enseguida agregar la mezcla de levadura, y la harina poco a poco alternando con la leche.', '4-Formar una bola, tapar y dejar reposar unos 25 a 30 minutos.', '5-Luego dividir la masa en dos.', '6-Ir formando bolas del tamaño de un puño de mano. Colocar sobre una lata cubierta de papel de mantequilla, en el caso que desee hacerlos en el horno.', '7-Nuevamente dejar reposar los berlines unos 20 minutos.', '8-Aplastar un poco y calentar el aceite por unos 5 minutos a fuego medio. Cuando el aceite esté listo, bajar el nivel al mínimo y freír 6 minutos por lado.', '9-Si lo desea hornear debe precalentar el horno a 350°F (180°C) y hornear por unos 18 minutos.', '10-Una vez listos los berlines, hacerles un corte en el medio, pero solo hasta la mitad y rellenarlos con la crema pastelera. Espolvorear con azúcar flor (glas).', '11-Primero batir las yemas con un poquito de leche, luegro agregar la maicena y un poco más de leche para poder disolver todo bien. Reservar.', '12-En una olla colocar el resto de leche y azúcar. Y un poco antes que comience a hervir, agregar la vainilla y la mezcla de yemas con maicena, la cual se puede colar antes de agregar. Y de ahí a fuego bajo comenzar a revolver constantemente para que no se pegue ni forme grumos, Continuar hasta que la crema se espese. Dejar hervir un minuto y apagar. Enfriar antes de usar.']"
Brazo de reina,35.0,8,,"['6 huevos', '1 taza de azúcar flor cernida (azúcar impalpable)', '1 taza de harina cernida', '2 cucharaditas de polvos de hornear', 'Manjar (dulce de leche, arequipe, cajeta)', 'Azúcar flor para espolvorear (azúcar fina)']","['1-Batir las claras a nieve e incorporar suavemente el azúcar, sin dejar de batir. Agregar las yemas de a una, luego la harina cernida con polvos.', '2-Vaciar a la lata del horno forrada con papel de mantequilla enmantequillado, emparejar y llevar al horno pre-caliente 350°F (180°C) por 8 a 10 minutos (sin dorar). El tiempo de cocción puede variar dependiendo del horno.', '3-Volcar sobre el papel espolvoreado con azúcar flor, desprender el papel en que se horneó, enrollar rápidamente ayudándose con el papel en que se volcó y dejar enfríar.', '4-Desenrollar y rellenar con el manjar y volver enrollar.', '5-Espolvorear con azúcar flor (azúcar glas)']"
Cachitos con manjar,80.0,30,,"['500 gr harina sin polvos', '1 pizca de sal', '8 yemas de huevo', '120 gr de mantequilla blanda', '60 ml de vino blanco', '60 ml agua', '1 cucharadita de esencia de vainilla']","['1-Poner la harina en el mesón y formar una corona.', '2-Colocar en el centro sal, yemas, mantequilla en trozos, vino, agua y vainilla.', '3-Mezclar todo hasta unir bien y poder comenzar amasar la masa hasta que esté uniforme.', '4-Formar una bola, envolver en plástico y llevar al refrigerador por 30 minutos.', '5-Luego dividir en 3 o 2 trozos. Y estirar cada trozo de masa con el uslero, dejar la masa delgada, formar un rectángulo.', '6-Cortar tiras de 20 cm de largo x 2 cm de ancho.', '7-Enmantequillar los moldes y si no tienen, pueden hacer unos similares con papel de aluminio.', '8-Envolver cada masa (tira) desde el extremo más delgado al más ancho.', '9-Llevar al horno precalentado a 180°C (350°F) por 20 minutos.', '10-Una vez listos, retirar de los moldes y rellenar con manjar.']"
